    Value  Size Type    Bind   Vis      Ndx Name
 00102180     4 OBJECT  LOCAL  DEFAULT    1 blkdev_list
 00102184  1024 OBJECT  LOCAL  DEFAULT    1 g_usb_input_buf
 00102584  1024 OBJECT  LOCAL  DEFAULT    1 g_usb_output_buf
 00102984     1 OBJECT  GLOBAL DEFAULT    1 g_da_verified
 00102988     4 OBJECT  LOCAL  DEFAULT    1 dlcomport
 0010298c     4 OBJECT  GLOBAL DEFAULT    1 g_dram_buf
 00102990     4 OBJECT  GLOBAL DEFAULT    1 opt_tx_dqs
 00102994     4 OBJECT  GLOBAL DEFAULT    1 opt_tx_dqm
 00102998     4 OBJECT  GLOBAL DEFAULT    1 DQS_PRINT
 0010299c     4 OBJECT  GLOBAL DEFAULT    1 opt_rx_dqs0
 001029a0    16 OBJECT  GLOBAL DEFAULT    1 opt_tx_dq
 001029b0     4 OBJECT  GLOBAL DEFAULT    1 opt_rx_dqs1
 001029b4     4 OBJECT  GLOBAL DEFAULT    1 RANK_CURR
 001029b8     4 OBJECT  GLOBAL DEFAULT    1 score
 001029bc   128 OBJECT  LOCAL  DEFAULT    1 dqs_gw
 00102a3c     1 OBJECT  LOCAL  DEFAULT    1 dqs_gw_cnt_break
 00102a40     4 OBJECT  GLOBAL DEFAULT    1 opt_gw_fine_value0
 00102a44     4 OBJECT  GLOBAL DEFAULT    1 opt_gw_fine_value1
 00102a48     4 OBJECT  GLOBAL DEFAULT    1 opt_gw_coarse_value0
 00102a4c     4 OBJECT  GLOBAL DEFAULT    1 opt_gw_coarse_value1
 00102a50     4 OBJECT  GLOBAL DEFAULT    1 pre_gw_fine_value0
 00102a54     4 OBJECT  GLOBAL DEFAULT    1 pre_gw_fine_value1
 00102a58     4 OBJECT  GLOBAL DEFAULT    1 pre_gw_coarse_value1
 00102a5c    12 OBJECT  LOCAL  DEFAULT    1 max_pwin
 00102a68     4 OBJECT  GLOBAL DEFAULT    1 pre_gw_coarse_value0
 00102a6c     4 OBJECT  LOCAL  DEFAULT    1 dqs_gw_fine
 00102a70     4 OBJECT  GLOBAL DEFAULT    1 opt_gw_coarse_value
 00102a74    12 OBJECT  LOCAL  DEFAULT    1 cur_pwin
 00102a80     4 OBJECT  LOCAL  DEFAULT    1 dqs_gw_coarse
 00102a84     4 OBJECT  GLOBAL DEFAULT    1 opt_gw_fine_value
 00102a88     4 OBJECT  GLOBAL DEFAULT    1 high_score
 00102a8c     4 OBJECT  LOCAL  DEFAULT    1 crc32_table_init
 00102a90     4 OBJECT  LOCAL  DEFAULT    1 part_ptr
 00102a94     4 OBJECT  GLOBAL DEFAULT    1 drvn
 00102a98     4 OBJECT  GLOBAL DEFAULT    1 drvp
 00102a9c     4 OBJECT  LOCAL  DEFAULT    1 found.4871
 00102aa0     4 OBJECT  LOCAL  DEFAULT    1 DDR_type
 00102aa4     4 OBJECT  LOCAL  DEFAULT    1 enable_combo_dis
 00102aa8    22 OBJECT  LOCAL  DEFAULT    1 id
 00102ac0     4 OBJECT  LOCAL  DEFAULT    1 fw_id_len
 00102ac4    76 OBJECT  LOCAL  DEFAULT    1 fan5405_i2c
 00102b10     4 OBJECT  LOCAL  DEFAULT    1 g_meta_ready_start_time
 00102b14     4 OBJECT  LOCAL  DEFAULT    1 khz.5154
